,country,points,price,variety,province,winery
187,Italy,88,48.0,Red Blend,Sicily & Sardinia,Abbazia Santa Anastasia
188,Chile,88,11.0,Merlot,Colchagua Valley,Viña Bisquertt
189,Chile,87,11.0,Chardonnay,Casablanca Valley,Emiliana
190,Italy,87,26.0,Red Blend,Southern Italy,Fattoria Alois
191,Australia,87,30.0,Cabernet Sauvignon,South Australia,Henry's Drive Vignerons
192,Italy,87,20.0,Red Blend,Veneto,Aldegheri
193,France,87,35.0,Chardonnay,Burgundy,Bertrand Ambroise
198,US,90,60.0,Cabernet Sauvignon,California,Sequum
205,US,90,25.0,Chardonnay,California,J. Lohr
206,US,90,25.0,Cabernet Sauvignon,California,Courtney Benham
213,US,90,48.0,Red Blend,California,MCV
220,US,90,40.0,Chardonnay,California,Sixteen by Twenty
227,US,85,15.0,Pinot Noir,New York,Wagner
228,US,85,14.0,Riesling,New York,Treleaven
229,US,85,18.0,Red Blend,California,Benessere
233,US,85,28.0,Pinot Noir,Oregon,Silvan Ridge
235,US,85,49.0,Syrah,California,Testarossa
236,US,85,85.0,Cabernet Sauvignon,California,Meeker
239,US,85,36.0,Cabernet Sauvignon,California,Dogwood
242,US,85,15.0,Chardonnay,California,Hayman & Hill
243,US,85,30.0,Chardonnay,New York,Hermann J. Wiemer
244,Spain,85,13.0,Red Blend,Northern Spain,J. & F. Lurton
245,Argentina,85,12.0,Chardonnay,Other,Finca Las Moras
246,Australia,85,15.0,Sauvignon Blanc,South Australia,Long Flat
247,US,85,25.0,Merlot,California,Work
248,US,85,45.0,Pinot Noir,Oregon,Amity
249,US,85,18.0,Bordeaux-style Red Blend,Virginia,Autumn Hill
250,US,85,49.0,Cabernet Sauvignon,California,Blue Rock
251,US,85,22.0,Pinot Noir,Oregon,Cherry Hill
255,US,89,55.0,Pinot Noir,California,Esterlina
260,US,89,40.0,Pinot Noir,Oregon,Willamette Valley Vineyards
261,Argentina,89,37.0,Red Blend,Mendoza Province,Algodon
262,US,89,39.0,Red Blend,California,Beaver Creek
263,US,89,60.0,Pinot Noir,California,Byron
266,Argentina,89,14.0,Red Blend,Mendoza Province,Kaiken
273,Argentina,89,19.0,Red Blend,Mendoza Province,O. Fournier
275,Argentina,89,30.0,Cabernet Sauvignon,Mendoza Province,Sottano
277,US,89,30.0,Cabernet Sauvignon,California,Trailhead
278,US,89,50.0,Pinot Noir,Oregon,Erath
281,US,92,34.0,Pinot Noir,California,Cambria
282,Italy,92,41.0,Red Blend,Tuscany,I Giusti e Zanza
283,US,92,52.0,Pinot Noir,Oregon,J. Christopher
286,US,92,60.0,Pinot Noir,California,Talley
289,US,92,125.0,Cabernet Sauvignon,California,Parallel
296,Chile,87,20.0,Cabernet Sauvignon,Maipo Valley,Ventisquero
297,US,87,15.0,Cabernet Sauvignon,California,Aquinas
298,Chile,87,19.0,Cabernet Sauvignon,Aconcagua Valley,Arboleda
301,US,87,14.0,Chardonnay,Washington,Buried Cane
307,France,87,30.0,Pinot Noir,Burgundy,Domaine Bertagna
312,US,87,40.0,Cabernet Sauvignon,California,Mount Veeder
314,US,87,28.0,Cabernet Sauvignon,California,Robert Mondavi
318,Chile,86,18.0,Merlot,Curicó Valley,Aresti
323,Chile,86,35.0,Cabernet Sauvignon,Colchagua Valley,J. & F. Lurton
327,Chile,86,18.0,Chardonnay,Limarí Valley,De Martino
330,US,86,40.0,Red Blend,California,Clos La Chance
336,Chile,83,35.0,Pinot Noir,Colchagua Costa,Koyle
337,France,83,16.0,Rosé,Languedoc-Roussillon,Château Notre Dame du Quatourze
338,France,82,11.0,Rosé,Provence,Mémoires
343,Chile,81,20.0,Pinot Noir,Rapel Valley,Pura 8
344,Chile,80,19.0,Chardonnay,Leyda Valley,Viña Tarapacá
347,Germany,97,775.0,Riesling,Rheingau,Robert Weil
352,US,96,68.0,Chardonnay,California,Rochioli
353,France,96,630.0,Chardonnay,Burgundy,Louis Latour
354,Germany,96,365.0,Riesling,Rheingau,Robert Weil
355,US,96,68.0,Chardonnay,California,Rochioli
357,France,95,350.0,Pinot Noir,Burgundy,Château de la Tour
358,Germany,95,66.0,Riesling,Rheingau,Weingut Hans Bausch
359,France,95,110.0,Chardonnay,Burgundy,Philippe Colin
362,US,95,200.0,Cabernet Sauvignon,California,J. Davies
363,France,95,380.0,Chardonnay,Burgundy,Louis Latour
364,US,95,48.0,Pinot Noir,Oregon,Winderlea
369,Italy,88,21.0,Chardonnay,Northeastern Italy,Ronco del Gelso
370,US,88,160.0,Cabernet Sauvignon,California,Sebastiani
371,Italy,88,23.0,Sauvignon Blanc,Northeastern Italy,Elena Walch
373,Italy,88,15.0,Sauvignon Blanc,Northeastern Italy,Borgo Conventi
374,US,88,19.0,Sauvignon Blanc,California,Ceago Vinegarden
380,Chile,88,12.0,Merlot,Rapel Valley,Lapostolle
382,Chile,88,15.0,Cabernet Sauvignon,Maipo Valley,Carmen
383,Italy,88,9.0,Chardonnay,Veneto,Tommasi
385,US,88,18.0,Sauvignon Blanc,California,Vinoce
386,US,88,34.0,Merlot,California,Merriam
387,US,88,17.0,Sauvignon Blanc,California,Murphy-Goode
388,US,88,25.0,Pinot Noir,California,Kynsi
390,Chile,88,12.0,Cabernet Sauvignon,Maipo Valley,Casa Julia
391,Chile,88,14.0,Chardonnay,Central Valley,Valdivieso
392,US,87,12.0,Sauvignon Blanc,California,Bridlewood
393,Chile,87,11.0,Chardonnay,Lontué Valley,San Pedro
394,Chile,87,12.0,Merlot,Maipo Valley,Undurraga
397,Chile,85,15.0,Pinot Noir,Colchagua Valley,Cono Sur
398,Chile,85,13.0,Sauvignon Blanc,Curicó Valley,Aresti
402,Chile,85,11.0,Syrah,Colchagua Valley,Viña Bisquertt
403,US,85,15.0,Red Blend,California,Vinavanti
404,US,85,45.0,Syrah,California,Vino V
407,Chile,85,14.0,Chardonnay,Casablanca Valley,Lapostolle
411,US,85,12.0,Cabernet Sauvignon,California,Morro Bay
415,US,85,14.0,Riesling,New York,Red Newt Cellars
419,France,89,20.0,Bordeaux-style Red Blend,Bordeaux,Château de Callac
421,US,89,30.0,Merlot,Washington,Guardian
425,US,89,18.0,Rosé,New York,Lieb
429,US,89,42.0,Syrah,Washington,Milbrandt
430,US,89,30.0,Sauvignon Blanc,California,Ojai
432,US,89,16.0,Riesling,Washington,Pomum
437,US,89,54.0,Bordeaux-style Red Blend,California,Trione
440,US,89,38.0,Cabernet Sauvignon,Washington,Walla Walla Vintners
446,US,88,20.0,Cabernet Sauvignon,California,Flying Cloud
449,Italy,92,39.0,Chardonnay,Lombardy,Majolini
455,US,92,40.0,Chardonnay,California,Robert Mondavi
457,US,92,45.0,Pinot Noir,California,Rusack
460,US,92,50.0,Pinot Noir,Oregon,Chehalem
462,France,92,66.0,Chardonnay,Burgundy,Henri de Villamont
464,Germany,92,115.0,Riesling,Rheinhessen,Wittmann
465,Italy,92,69.0,Red Blend,Veneto,Valentina Cubi
467,US,92,65.0,Pinot Noir,Oregon,Domaine Serene
468,Germany,92,42.0,Riesling,Mosel,Dr. Loosen
469,Germany,92,27.0,Riesling,Mosel,Dr. Loosen
471,France,92,73.0,Pinot Noir,Burgundy,Henri de Villamont
472,France,92,72.0,Pinot Noir,Burgundy,Henri de Villamont
475,US,92,130.0,Cabernet Sauvignon,California,Bell
476,US,92,88.0,Red Blend,California,Castello di Amorosa
477,France,92,65.0,Bordeaux-style Red Blend,Bordeaux,Château Vray Croix de Gay
480,US,87,45.0,Bordeaux-style Red Blend,Washington,Sparkman
482,US,87,60.0,Pinot Noir,California,Babcock
486,US,87,13.0,Cabernet Sauvignon,California,Lyeth
493,US,87,35.0,Red Blend,Washington,Insania
494,US,87,12.0,Chardonnay,New York,Knapp
495,US,87,18.0,Chardonnay,California,Lava Cap
498,US,87,17.0,Pinot Noir,California,Michael Pozzan
499,France,87,20.0,Rosé,Provence,Domaine du Grand Cros
500,Spain,87,11.0,Rosé,Northern Spain,El Coto
503,US,87,19.0,Sauvignon Blanc,California,Hanna
507,US,87,28.0,Syrah,Washington,Camaraderie
509,US,91,65.0,Red Blend,California,Beringer
510,US,91,48.0,Chardonnay,California,Big Basin
513,US,91,90.0,Cabernet Sauvignon,California,Conn Creek
514,Chile,91,35.0,Merlot,Colchagua Valley,Cono Sur
515,US,91,75.0,Pinot Noir,California,D.R. Stephens
516,US,91,55.0,Pinot Noir,California,Davis Family
517,US,91,55.0,Pinot Noir,California,Davis Family
518,France,91,60.0,Pinot Noir,Burgundy,Domaine Jeannin-Naltet
522,US,91,55.0,Pinot Noir,Oregon,Rex Hill
523,US,91,65.0,Pinot Noir,Oregon,Ruby
524,US,91,35.0,Syrah,Washington,Structure
525,US,91,49.0,Chardonnay,California,Testarossa
526,US,91,55.0,Pinot Noir,Oregon,Tumwater
529,US,91,45.0,Pinot Noir,California,Joseph Jewell
530,Chile,91,24.0,Syrah,Colchagua Valley,Lapostolle
532,US,91,50.0,Pinot Noir,Oregon,Le Cadeau
533,US,91,50.0,Pinot Noir,Oregon,Le Cadeau
534,US,91,38.0,Cabernet Sauvignon,California,Le Vigne
535,Germany,91,22.0,Riesling,Mosel,Maximin Grünhäuser
536,US,91,50.0,Bordeaux-style Red Blend,Washington,Northstar
537,US,91,110.0,Cabernet Sauvignon,California,Padis
538,US,91,45.0,Pinot Noir,Oregon,Paul O'Brien
539,US,93,42.0,Pinot Noir,California,Claiborne & Churchill
540,US,93,60.0,Pinot Noir,California,Flying Goat Cellars
541,US,93,42.0,Pinot Noir,California,Flying Goat Cellars
543,US,93,75.0,Cabernet Sauvignon,California,Midsummer Cellars
544,US,93,54.0,Red Blend,California,ONX
545,US,93,85.0,Cabernet Sauvignon,California,Les Belles Collines
546,US,93,50.0,Chardonnay,California,Lutum
548,US,93,85.0,Pinot Noir,California,Iron Horse
550,US,93,35.0,Chardonnay,California,Artesa
552,France,93,20.0,Rosé,Provence,Château Vignelaure
554,France,93,40.0,Rosé,Provence,Mas de Cadenet
555,US,93,75.0,Cabernet Sauvignon,Washington,Passing Time
557,US,93,40.0,Pinot Noir,California,Sanctuary
560,US,93,45.0,Syrah,California,Limerick Lane
561,US,93,50.0,Pinot Noir,California,Loring Wine Company
563,US,93,48.0,Pinot Noir,California,Flying Goat Cellars
564,US,93,62.0,Syrah,California,Four Lanterns
565,US,93,100.0,Red Blend,California,Turiya
566,US,93,53.0,Cabernet Sauvignon,California,World's End
568,US,93,70.0,Cabernet Sauvignon,California,W.H. Smith
569,US,89,38.0,Chardonnay,Washington,Alleromb
570,US,89,50.0,Syrah,Washington,Ardor
573,France,89,14.0,Bordeaux-style Red Blend,Bordeaux,Château Bois Chantant
574,France,89,11.0,Rosé,Rhône Valley,Château de Campuget
575,France,89,14.0,Bordeaux-style Red Blend,Bordeaux,Château de l'Aubrade
576,France,89,37.0,Bordeaux-style Red Blend,Bordeaux,Château de Pressac
577,US,89,17.0,Rosé,New York,Chateau Lafayette Reneau
578,France,89,15.0,Bordeaux-style Red Blend,Bordeaux,Château Maison Noble Saint Martin
579,US,89,13.0,Rosé,California,Cupcake
582,US,89,18.0,Merlot,Washington,Seven Falls
583,US,89,32.0,Pinot Noir,California,Silvertip
585,US,89,25.0,Chardonnay,Washington,Stevens
587,Austria,89,20.0,Sauvignon Blanc,Südsteiermark,Strauss
588,US,89,18.0,Chardonnay,California,Trinity River
590,US,89,17.0,Chardonnay,California,Vintage Cowboy
593,Austria,89,16.0,Riesling,Niederösterreich,Landhaus Mayer
595,US,89,30.0,Cabernet Sauvignon,Washington,L'Ecole No. 41
597,Austria,89,24.0,Riesling,Kremstal,Malat
599,US,87,20.0,Cabernet Sauvignon,California,Michael Pozzan
602,US,87,69.0,Cabernet Sauvignon,California,Paoletti
604,Spain,87,35.0,Red Blend,Northern Spain,Príncipe de Viana
605,Argentina,87,30.0,Red Blend,Mendoza Province,Proemio
610,US,87,17.0,Sauvignon Blanc,California,Rodney Strong
611,US,87,54.0,Pinot Noir,California,Saintsbury
616,US,87,45.0,Chardonnay,California,B Cellars
618,US,87,35.0,Merlot,California,Barlow
619,Italy,87,16.0,Chardonnay,Piedmont,Borgo Maragliano
621,US,87,28.0,Pinot Noir,California,Claiborne & Churchill
622,US,87,25.0,Red Blend,Idaho,Coiled
623,US,87,28.0,Red Blend,Idaho,Coiled
624,US,87,20.0,Red Blend,Idaho,Colter's Creek
629,US,92,75.0,Pinot Noir,California,Walt
630,US,92,48.0,Pinot Noir,Oregon,WillaKenzie Estate
632,France,92,34.0,Riesling,Alsace,Jean-Marc Bernhard
638,France,92,36.0,Riesling,Alsace,Domaines Schlumberger
640,US,92,37.0,Chardonnay,California,Foxen
643,US,92,60.0,Chardonnay,California,Melhill
644,US,92,40.0,Cabernet Sauvignon,California,Niner
645,US,92,50.0,Pinot Noir,Oregon,Purple Hands
648,Germany,92,34.0,Riesling,Mosel,Reichsgraf von Kesselstatt
649,US,92,75.0,Cabernet Sauvignon,California,Stone The Crows
651,France,92,39.0,Riesling,Alsace,Kuentz-Bas
652,Australia,92,21.0,Riesling,Western Australia,Plantagenet
654,France,92,43.0,Riesling,Alsace,Sipp Mack
656,US,92,70.0,Pinot Noir,Oregon,Stoller
658,US,90,40.0,Chardonnay,California,Vine Cliff
659,US,90,45.0,Cabernet Sauvignon,Washington,Va Piano
660,US,90,80.0,Cabernet Sauvignon,California,Y Rousseau
663,US,90,65.0,Cabernet Sauvignon,California,Paradise Ridge
666,US,90,20.0,Riesling,Washington,Poet's Leap
668,US,90,26.0,Riesling,New York,Raphael
670,US,90,13.0,Cabernet Sauvignon,Washington,Snoqualmie
672,US,90,26.0,Riesling,New York,The Grapes of Roth
673,US,90,44.0,Pinot Noir,California,The Withers Winery
674,US,90,38.0,Cabernet Sauvignon,California,Truchard
675,US,90,28.0,Pinot Noir,California,Acacia
676,US,90,32.0,Chardonnay,Washington,Array
677,Italy,90,50.0,Syrah,Tuscany,Baracchi Riccardo
678,Italy,90,35.0,Syrah,Tuscany,Baracchi Riccardo
679,US,90,35.0,Cabernet Sauvignon,Washington,Barrister
681,US,90,42.0,Syrah,Washington,Bunnell
683,Italy,90,70.0,Red Blend,Tuscany,Castello di Querceto
684,US,90,30.0,Cabernet Sauvignon,Washington,Chateau Ste. Michelle
685,US,90,75.0,Pinot Noir,California,Cobb
687,US,90,29.0,Chardonnay,California,Cooper-Garrod
688,US,91,90.0,Cabernet Sauvignon,Washington,Mosquito Fleet
689,US,91,35.0,Red Blend,California,Nadia
690,Austria,91,35.0,Red Blend,Burgenland,Nittnaus Hans und Christine
692,Italy,91,35.0,Red Blend,Tuscany,Poggio Argentiera
695,Italy,91,43.0,Red Blend,Tuscany,Ruffino
698,US,91,20.0,Bordeaux-style Red Blend,Washington,Woodinville Wine Cellars
701,France,91,65.0,Rosé,Provence,Château d'Esclans
702,France,91,17.0,Rosé,Provence,Château Riotor
704,France,91,20.0,Rosé,Provence,Château Vignelaure
706,France,91,20.0,Rosé,Provence,Domaine de la Bastide Blanche
707,France,91,20.0,Rosé,Provence,Domaine du Grand Cros
708,France,91,25.0,Rosé,Provence,Domaine Sainte-Marie
711,US,91,23.0,Sauvignon Blanc,California,Dutton Estate
712,US,91,48.0,Pinot Noir,California,Failla
713,US,91,32.0,Pinot Noir,California,Friedeman
715,Argentina,91,28.0,Red Blend,Mendoza Province,Benvenuto de la Serna
717,France,91,25.0,Rosé,Provence,JCB
719,France,85,15.0,Chardonnay,Burgundy,Cave de Viré
720,Portugal,85,22.0,Rosé,Alentejano,Cortes de Cima
721,Argentina,85,14.0,Cabernet Sauvignon,Mendoza Province,Domaine Bousquet
726,Portugal,85,9.0,Rosé,Vinho Verde,Quinta de Paços
727,US,85,13.0,Pinot Noir,Oregon,Rascal
730,US,85,16.0,Cabernet Sauvignon,California,Jack's House
731,France,85,10.0,Chardonnay,France Other,Kiwi Cuvée
732,France,85,22.0,Pinot Noir,Burgundy,Domaine Michel Goubard
733,France,85,40.0,Pinot Noir,Burgundy,Domaine Poulleau Père et Fils
737,Portugal,85,12.0,Rosé,Península de Setúbal,Wines & Winemakers
742,France,85,20.0,Chardonnay,Burgundy,Paul Reitz
747,US,87,24.0,Pinot Noir,California,William Knuttel
749,France,87,12.0,Riesling,Alsace,Cave de Beblenheim
750,US,87,45.0,Pinot Noir,California,De Loach
751,Chile,87,13.0,Sauvignon Blanc,Central Valley,De Martino
753,US,87,22.0,Chardonnay,California,Center of Effort
757,US,87,36.0,Pinot Noir,California,Lane Tanner
758,US,87,34.0,Pinot Noir,California,MacRostie
759,US,87,70.0,Syrah,California,Monte De Oro
760,US,87,28.0,Syrah,California,Mounts
764,US,87,45.0,Syrah,California,Pax
765,US,87,32.0,Red Blend,California,Robert Foley
766,Australia,87,18.0,Pinot Noir,Tasmania,42°S
768,Australia,87,11.0,Cabernet Sauvignon,Australia Other,McWilliam's Hanwood Estate
770,France,92,62.0,Chardonnay,Champagne,G. H. Mumm
772,France,92,66.0,Chardonnay,Champagne,Jean Milan
774,US,92,70.0,Pinot Noir,Oregon,Patton Valley
775,US,92,48.0,Pinot Noir,Oregon,Patton Valley
776,France,92,72.0,Chardonnay,Champagne,Pierre Gimonnet et Fils
778,US,92,105.0,Pinot Noir,Oregon,Adelsheim
781,Italy,92,85.0,Chardonnay,Northeastern Italy,Ferrari
785,Argentina,90,25.0,Red Blend,Other,San Pedro de Yacochuya
787,US,90,125.0,Cabernet Sauvignon,California,St. Supéry
788,Argentina,90,46.0,Chardonnay,Mendoza Province,Viña Cobos
789,Germany,90,29.0,Riesling,Mosel,Von Schleinitz
790,US,90,17.0,Cabernet Sauvignon,Washington,Barnard Griffin
791,US,90,85.0,Pinot Noir,Oregon,Beacon Hill
792,France,90,30.0,Bordeaux-style Red Blend,Bordeaux,Bernard Magrez
793,US,90,34.0,Red Blend,Washington,Brian Carter Cellars
795,France,90,35.0,Bordeaux-style Red Blend,Bordeaux,Château Corbin
796,France,90,45.0,Bordeaux-style Red Blend,Bordeaux,Château Haut-Logat
797,France,90,20.0,Bordeaux-style Red Blend,Bordeaux,Château La Branne
798,France,90,17.0,Bordeaux-style Red Blend,Bordeaux,Château Mayne Vieil
799,France,90,45.0,Bordeaux-style Red Blend,Bordeaux,Château Mille-Roses
800,US,90,20.0,Cabernet Sauvignon,California,Chessman
801,US,90,50.0,Syrah,California,Deerfield Ranch
803,US,90,39.0,Merlot,Washington,Efeste
804,US,90,35.0,Chardonnay,Washington,Efeste
805,US,90,15.0,Riesling,Oregon,Firesteed
806,US,90,27.0,Chardonnay,California,Iron Hub
807,Australia,90,66.0,Chardonnay,Victoria,Kooyong
810,US,90,125.0,Cabernet Sauvignon,California,Aiken
812,US,90,42.0,Syrah,California,Donkey & Goat
813,Australia,90,22.0,Red Blend,South Australia,Torbreck
815,US,86,18.0,Sauvignon Blanc,Washington,Finn Hill
817,Chile,86,12.0,Merlot,Colchagua Valley,La Playa
824,US,86,10.0,Merlot,California,Stomping Ground
827,Chile,86,11.0,Merlot,Curicó Valley,Terrapura
830,France,86,15.0,Chardonnay,Beaujolais,Domaine de Thulon
834,Chile,86,10.0,Cabernet Sauvignon,Loncomilla Valley,G7
838,US,86,36.0,Syrah,Washington,Kontos
839,US,86,20.0,Riesling,New York,Lamoreaux Landing
841,US,86,10.0,Chardonnay,California,Leaping Horse
847,France,90,33.0,Pinot Noir,Alsace,Domaine Bott-Geyl
849,France,90,70.0,Pinot Noir,Burgundy,Domaine Faiveley
850,France,90,117.0,Chardonnay,Burgundy,Domaine Jacques Prieur
853,Germany,90,30.0,Riesling,Mosel,Dr. H. Thanisch (Erben Thanisch)
855,US,90,35.0,Chardonnay,California,Edna Valley Vineyard
857,US,90,28.0,Syrah,California,Fess Parker
859,US,90,150.0,Cabernet Sauvignon,California,Foretell
863,US,90,45.0,Pinot Noir,California,West of Temperance
866,Australia,90,25.0,Rosé,South Australia,Beresford
867,US,90,40.0,Pinot Noir,Oregon,Carabella
870,US,90,29.0,Syrah,California,Greenwood Ridge
871,US,90,42.0,Merlot,California,Herencia
876,Spain,90,50.0,Red Blend,Catalonia,Vall Llach
878,France,90,35.0,Bordeaux-style Red Blend,Bordeaux,Château Bel-Air Ortet
879,France,90,45.0,Bordeaux-style Red Blend,Bordeaux,Château Ferrière
880,US,90,20.0,Syrah,California,Cline
881,Spain,90,44.0,Red Blend,Catalonia,Fuentes
882,US,90,22.0,Cabernet Sauvignon,California,Fuse
889,US,90,44.0,Pinot Noir,California,Pacific Ridge
891,US,90,29.0,Pinot Noir,California,2nd Chance
892,US,90,58.0,Bordeaux-style Red Blend,Washington,Bergevin Lane
895,Italy,90,45.0,Red Blend,Tuscany,Le Buche
896,US,90,70.0,Syrah,California,Leonesse Cellars
897,US,90,39.0,Syrah,Washington,Market Vineyards
900,Spain,90,48.0,Red Blend,Catalonia,Morlanda
903,Germany,87,10.0,Riesling,Nahe,Bex
910,Argentina,87,30.0,Bordeaux-style Red Blend,Mendoza Province,Antucura
912,US,87,18.0,Rosé,Oregon,Fullerton
915,US,87,25.0,Pinot Noir,Oregon,Coelho
922,Argentina,87,12.0,Sauvignon Blanc,Mendoza Province,Finca Sophenia
924,Australia,87,18.0,Sauvignon Blanc,South Australia,Sidewood
932,France,87,14.0,Bordeaux-style Red Blend,Bordeaux,Château les Petits Arnauds
933,France,87,16.0,Bordeaux-style Red Blend,Bordeaux,Château Mougneaux
934,France,87,15.0,Bordeaux-style Red Blend,Bordeaux,Château Saintongey
935,France,87,14.0,Bordeaux-style Red Blend,Bordeaux,Château Ségonzac
936,US,87,40.0,Chardonnay,Oregon,Chehalem
939,US,87,55.0,Bordeaux-style Red Blend,California,Cuda Ridge Wines
942,US,87,34.0,Pinot Noir,California,Ektimo Vineyards
945,US,87,17.0,Chardonnay,California,Francis Coppola
950,US,87,40.0,Chardonnay,California,Vine Cliff
953,US,87,38.0,Pinot Noir,Oregon,Amalie Robert
954,US,87,15.0,Cabernet Sauvignon,California,Archgate Cellars
957,US,87,24.0,Sauvignon Blanc,California,Carica
958,Spain,87,18.0,Rosé,Northern Spain,Ignacio Marín
960,France,87,18.0,Bordeaux-style Red Blend,Bordeaux,Château Cap Saint-Martin
961,France,87,20.0,Bordeaux-style Red Blend,Bordeaux,Château de Bel
963,France,85,11.0,Bordeaux-style Red Blend,Bordeaux,Château Pavillon de Boyrein
967,Chile,85,10.0,Chardonnay,Casablanca Valley,Santa Ema
970,US,85,19.0,Cabernet Sauvignon,California,One Hope
